date,Unnamed: 0,impressions,date,reach,comments,likes
2021-02-07,0,1438,2021-02-07,1294,0.0,0.0
2021-02-08,1,1195,2021-02-08,1078,0.0,0.0
2021-02-09,2,451,2021-02-09,348,0.0,0.0
2021-02-10,3,108,2021-02-10,99,0.0,0.0
2021-02-11,4,163,2021-02-11,31,0.0,0.0
2021-02-12,5,915,2021-02-12,837,0.0,0.0
2021-02-13,6,578,2021-02-13,480,0.0,0.0
2021-02-15,9,97,2021-02-15,52,0.0,0.0
2021-02-16,10,649,2021-02-16,431,0.0,0.0
2021-02-17,11,84,2021-02-17,65,0.0,0.0
2021-02-18,12,54,2021-02-18,27,0.0,0.0
2021-02-19,13,44,2021-02-19,26,0.0,0.0
2021-02-20,14,53,2021-02-20,22,0.0,0.0
2021-02-22,17,56,2021-02-22,26,0.0,0.0
2021-02-23,18,349,2021-02-23,36,0.0,0.0
2021-02-24,19,86,2021-02-24,40,0.0,0.0
2021-02-25,20,39,2021-02-25,21,0.0,0.0
2021-02-26,21,1203,2021-02-26,1147,0.0,0.0
2021-02-27,22,237,2021-02-27,185,0.0,0.0
2021-03-01,25,47,2021-03-01,37,0.0,0.0
2021-03-02,26,29,2021-03-02,17,0.0,0.0
2021-03-03,27,43,2021-03-03,30,0.0,0.0
2021-03-04,28,98,2021-03-04,28,0.0,0.0
2021-03-05,29,35,2021-03-05,16,0.0,0.0
2021-03-06,30,309,2021-03-06,18,0.0,0.0
2021-03-08,33,1063,2021-03-08,1001,0.0,0.0
2021-03-09,34,347,2021-03-09,259,0.0,0.0
2021-03-10,35,946,2021-03-10,810,0.0,0.0
2021-03-11,36,301,2021-03-11,196,0.0,0.0
2021-03-12,37,642,2021-03-12,524,0.0,0.0
2021-03-13,38,224,2021-03-13,189,0.0,0.0
2021-03-15,41,1254,2021-03-15,1090,0.0,0.0
2021-03-16,42,242,2021-03-16,183,0.0,0.0
2021-03-17,43,174,2021-03-17,51,0.0,0.0
2021-03-18,44,45,2021-03-18,31,0.0,0.0
2021-03-19,45,144,2021-03-19,27,0.0,0.0
2021-03-20,46,107,2021-03-20,28,0.0,0.0
2021-03-22,49,65,2021-03-22,38,0.0,0.0
2021-03-23,50,29,2021-03-23,23,0.0,0.0
2021-03-24,51,103,2021-03-24,21,0.0,0.0
2021-03-25,52,928,2021-03-25,770,0.0,0.0
2021-03-26,53,204,2021-03-26,169,0.0,0.0
2021-03-27,54,120,2021-03-27,59,0.0,0.0
2021-03-29,57,49,2021-03-29,20,0.0,0.0
2021-03-30,58,38,2021-03-30,33,0.0,0.0
2021-03-31,59,49,2021-03-31,21,0.0,0.0
2021-04-01,60,111,2021-04-01,100,0.0,0.0
2021-04-02,61,890,2021-04-02,794,0.0,0.0
2021-04-03,62,197,2021-04-03,173,0.0,0.0
2021-04-05,65,53,2021-04-05,26,0.0,0.0
2021-04-06,66,94,2021-04-06,32,0.0,0.0
2021-04-07,67,65,2021-04-07,23,0.0,0.0
2021-04-08,68,103,2021-04-08,37,0.0,0.0
2021-04-09,69,48,2021-04-09,25,0.0,0.0
2021-04-10,70,454,2021-04-10,374,0.0,0.0
2021-04-12,73,79,2021-04-12,24,0.0,0.0
2021-04-13,74,546,2021-04-13,465,0.0,0.0
2021-04-14,75,162,2021-04-14,142,0.0,0.0
2021-04-15,76,143,2021-04-15,92,0.0,0.0
2021-04-16,77,61,2021-04-16,39,0.0,0.0
2021-04-17,78,43,2021-04-17,27,0.0,0.0
2021-04-19,81,74,2021-04-19,29,0.0,0.0
2021-04-20,82,987,2021-04-20,781,0.0,0.0
2021-04-21,83,670,2021-04-21,273,0.0,0.0
2021-04-22,84,814,2021-04-22,635,0.0,0.0
2021-04-23,85,1384,2021-04-23,1207,0.0,0.0
2021-04-24,86,468,2021-04-24,356,0.0,0.0
2021-04-26,89,102,2021-04-26,44,0.0,0.0
2021-04-27,90,137,2021-04-27,30,0.0,0.0
2021-04-28,91,233,2021-04-28,197,0.0,0.0
2021-04-29,92,1478,2021-04-29,1131,0.0,0.0
2021-04-30,93,126,2021-04-30,115,0.0,0.0
2021-05-01,94,68,2021-05-01,37,0.0,0.0
2021-05-03,97,3035,2021-05-03,2704,0.0,0.0
2021-05-04,98,485,2021-05-04,374,0.0,0.0
2021-05-05,99,581,2021-05-05,546,0.0,0.0
2021-05-06,100,1885,2021-05-06,1376,0.0,0.0
2021-05-07,101,533,2021-05-07,384,0.0,0.0
2021-05-08,102,107,2021-05-08,47,0.0,0.0
2021-05-10,105,38,2021-05-10,23,0.0,0.0
2021-05-11,106,39,2021-05-11,22,0.0,0.0
2021-05-12,107,44,2021-05-12,14,0.0,0.0
2021-05-13,108,107,2021-05-13,60,0.0,0.0
2021-05-14,109,125,2021-05-14,24,0.0,0.0
2021-05-15,110,50,2021-05-15,21,0.0,0.0
2021-05-17,113,1341,2021-05-17,934,0.0,0.0
2021-05-18,114,429,2021-05-18,309,0.0,0.0
2021-05-19,115,135,2021-05-19,73,0.0,0.0
2021-05-20,116,1023,2021-05-20,713,0.0,0.0
2021-05-21,117,237,2021-05-21,208,0.0,0.0
2021-05-22,118,77,2021-05-22,66,0.0,0.0
2021-05-24,121,1510,2021-05-24,754,0.0,0.0
2021-05-25,122,626,2021-05-25,474,0.0,0.0
2021-05-26,123,115,2021-05-26,94,0.0,0.0
2021-05-27,124,236,2021-05-27,31,0.0,0.0
2021-05-28,125,49,2021-05-28,14,0.0,0.0
2021-05-29,126,57,2021-05-29,25,0.0,0.0
2021-05-31,129,223,2021-05-31,30,0.0,0.0
2021-06-01,130,34,2021-06-01,25,0.0,0.0
2021-06-02,131,25,2021-06-02,17,0.0,0.0
2021-06-03,132,78,2021-06-03,11,0.0,0.0
2021-06-04,133,134,2021-06-04,14,0.0,0.0
2021-06-05,134,35,2021-06-05,15,0.0,0.0
2021-06-07,137,110,2021-06-07,12,0.0,0.0
2021-06-08,138,1221,2021-06-08,810,0.0,0.0
2021-06-09,139,425,2021-06-09,326,0.0,0.0
2021-06-10,140,112,2021-06-10,89,0.0,0.0
2021-06-11,141,47,2021-06-11,35,0.0,0.0
2021-06-12,142,69,2021-06-12,31,0.0,0.0
2021-06-14,145,48,2021-06-14,22,0.0,0.0
2021-06-15,146,43,2021-06-15,22,0.0,0.0
2021-06-16,147,40,2021-06-16,24,0.0,0.0
2021-06-17,148,61,2021-06-17,22,0.0,0.0
2021-06-18,149,50,2021-06-18,21,0.0,0.0
2021-06-19,150,35,2021-06-19,18,0.0,0.0
2021-06-21,153,152,2021-06-21,131,0.0,0.0
2021-06-22,154,1465,2021-06-22,1307,0.0,0.0
2021-06-23,155,262,2021-06-23,201,0.0,0.0
2021-06-24,156,51,2021-06-24,38,0.0,0.0
2021-06-25,157,28,2021-06-25,19,0.0,0.0
2021-06-26,158,33,2021-06-26,23,0.0,0.0
2021-06-28,161,881,2021-06-28,731,0.0,0.0
2021-06-29,162,544,2021-06-29,461,0.0,0.0
2021-06-30,163,142,2021-06-30,123,0.0,0.0
2021-07-01,164,60,2021-07-01,47,0.0,0.0
2021-07-02,165,112,2021-07-02,31,0.0,0.0
2021-07-03,166,68,2021-07-03,34,0.0,0.0
2021-07-05,169,77,2021-07-05,37,0.0,0.0
2021-07-06,170,33,2021-07-06,25,0.0,0.0
2021-07-07,171,31,2021-07-07,25,0.0,0.0
2021-07-08,172,35,2021-07-08,30,0.0,0.0
2021-07-09,173,128,2021-07-09,104,0.0,0.0
2021-07-10,174,148,2021-07-10,59,0.0,0.0
2021-07-12,177,226,2021-07-12,39,0.0,0.0
2021-07-13,178,1162,2021-07-13,925,0.0,0.0
2021-07-14,179,217,2021-07-14,193,0.0,0.0
2021-07-15,180,88,2021-07-15,62,0.0,0.0
2021-07-16,181,94,2021-07-16,39,0.0,0.0
2021-07-17,182,38,2021-07-17,34,0.0,0.0
2021-07-19,185,489,2021-07-19,286,0.0,0.0
2021-07-20,186,416,2021-07-20,374,0.0,0.0
2021-07-21,187,101,2021-07-21,86,0.0,0.0
2021-07-22,188,26,2021-07-22,21,0.0,0.0
2021-07-23,189,46,2021-07-23,29,0.0,0.0
2021-07-24,190,57,2021-07-24,34,0.0,0.0
2021-07-26,193,2468,2021-07-26,1617,0.0,0.0
2021-07-27,194,851,2021-07-27,559,0.0,0.0
2021-07-28,195,556,2021-07-28,396,0.0,0.0
2021-07-29,196,218,2021-07-29,186,0.0,0.0
2021-07-30,197,102,2021-07-30,56,0.0,0.0
2021-07-31,198,1116,2021-07-31,956,0.0,0.0
2021-08-02,201,198,2021-08-02,146,0.0,0.0
2021-08-03,202,98,2021-08-03,60,0.0,0.0
2021-08-04,203,306,2021-08-04,250,0.0,0.0
2021-08-05,204,230,2021-08-05,189,0.0,0.0
2021-08-06,205,684,2021-08-06,607,0.0,0.0
2021-08-07,206,538,2021-08-07,497,0.0,0.0
2021-08-09,209,675,2021-08-09,538,0.0,0.0
2021-08-10,210,298,2021-08-10,218,0.0,0.0
2021-08-11,211,414,2021-08-11,363,0.0,0.0
2021-08-12,212,279,2021-08-12,166,0.0,0.0
2021-08-13,213,123,2021-08-13,67,0.0,0.0
2021-08-14,214,108,2021-08-14,73,0.0,0.0
2021-08-16,217,117,2021-08-16,70,0.0,0.0
2021-08-17,218,135,2021-08-17,49,0.0,0.0
2021-08-18,219,167,2021-08-18,65,0.0,0.0
2021-08-19,220,734,2021-08-19,615,0.0,0.0
2021-08-20,221,321,2021-08-20,284,0.0,0.0
2021-08-21,222,124,2021-08-21,99,0.0,0.0
2021-08-23,225,676,2021-08-23,537,0.0,0.0
2021-08-24,226,1556,2021-08-24,1368,0.0,0.0
2021-08-25,227,320,2021-08-25,250,0.0,0.0
2021-08-26,228,899,2021-08-26,585,0.0,0.0
2021-08-27,229,1342,2021-08-27,964,0.0,0.0
2021-08-28,230,335,2021-08-28,257,0.0,0.0
2021-08-30,233,521,2021-08-30,440,0.0,0.0
2021-08-31,234,1682,2021-08-31,1418,0.0,0.0
2021-09-01,235,826,2021-09-01,672,0.0,0.0
2021-09-02,236,1808,2021-09-02,1408,0.0,0.0
2021-09-03,237,361,2021-09-03,193,0.0,0.0
2021-09-04,238,133,2021-09-04,98,0.0,0.0
2021-09-06,241,332,2021-09-06,165,0.0,0.0
2021-09-07,242,275,2021-09-07,209,0.0,0.0
2021-09-08,243,116,2021-09-08,57,0.0,0.0
2021-09-09,244,1294,2021-09-09,1021,0.0,0.0
2021-09-10,245,426,2021-09-10,312,0.0,0.0
2021-09-11,246,121,2021-09-11,106,0.0,0.0
2021-09-13,249,30,2021-09-13,25,0.0,0.0
2021-09-14,250,355,2021-09-14,283,0.0,0.0
2021-09-15,251,141,2021-09-15,100,0.0,0.0
2021-09-16,252,464,2021-09-16,367,0.0,0.0
2021-09-17,253,254,2021-09-17,157,0.0,0.0
2021-09-18,254,116,2021-09-18,80,0.0,0.0
2021-09-20,257,72,2021-09-20,35,0.0,0.0
2021-09-21,258,747,2021-09-21,412,0.0,0.0
2021-09-22,259,512,2021-09-22,230,0.0,0.0
2021-09-23,260,626,2021-09-23,237,0.0,0.0
2021-09-24,261,1025,2021-09-24,773,0.0,0.0
2021-09-25,262,123,2021-09-25,115,0.0,0.0
2021-09-27,265,37,2021-09-27,28,0.0,0.0
2021-09-28,266,155,2021-09-28,38,0.0,0.0
2021-09-29,267,137,2021-09-29,84,0.0,0.0
2021-09-30,268,751,2021-09-30,296,0.0,0.0
2021-10-01,269,705,2021-10-01,445,0.0,0.0
2021-10-02,270,363,2021-10-02,261,0.0,0.0
2021-10-04,273,77,2021-10-04,31,0.0,0.0
2021-10-05,274,34,2021-10-05,28,0.0,0.0
2021-10-06,275,710,2021-10-06,596,0.0,0.0
2021-10-07,276,672,2021-10-07,418,0.0,0.0
2021-10-08,277,435,2021-10-08,300,0.0,0.0
2021-10-09,278,210,2021-10-09,84,0.0,0.0
2021-10-11,281,704,2021-10-11,515,0.0,0.0
2021-10-12,282,366,2021-10-12,290,0.0,0.0
2021-10-13,283,161,2021-10-13,122,0.0,0.0
2021-10-14,284,72,2021-10-14,66,0.0,0.0
2021-10-15,285,543,2021-10-15,429,0.0,0.0
2021-10-16,286,267,2021-10-16,211,0.0,0.0
2021-10-18,289,94,2021-10-18,34,0.0,0.0
2021-10-19,290,935,2021-10-19,731,0.0,0.0
2021-10-20,291,256,2021-10-20,215,0.0,0.0
2021-10-21,292,296,2021-10-21,263,0.0,0.0
2021-10-22,293,117,2021-10-22,90,0.0,0.0
2021-10-23,294,80,2021-10-23,66,0.0,0.0
2021-10-25,297,319,2021-10-25,231,0.0,0.0
2021-10-26,298,94,2021-10-26,61,0.0,0.0
2021-10-27,299,1552,2021-10-27,1440,0.0,0.0
2021-10-28,300,850,2021-10-28,643,0.0,0.0
2021-10-29,301,190,2021-10-29,91,0.0,0.0
2021-10-30,302,98,2021-10-30,37,0.0,0.0
2021-11-01,305,536,2021-11-01,360,0.0,0.0
2021-11-02,306,713,2021-11-02,409,0.0,0.0
2021-11-03,307,762,2021-11-03,531,0.0,0.0
2021-11-04,308,357,2021-11-04,283,0.0,0.0
2021-11-05,309,141,2021-11-05,108,0.0,0.0
2021-11-06,310,63,2021-11-06,42,0.0,0.0
2021-11-08,313,498,2021-11-08,426,0.0,0.0
2021-11-09,314,181,2021-11-09,166,0.0,0.0
2021-11-10,315,116,2021-11-10,87,0.0,0.0
2021-11-11,316,360,2021-11-11,286,0.0,0.0
2021-11-12,317,347,2021-11-12,296,0.0,0.0
2021-11-13,318,117,2021-11-13,58,0.0,0.0
2021-11-15,321,822,2021-11-15,443,0.0,0.0
2021-11-16,322,900,2021-11-16,270,0.0,0.0
2021-11-17,323,143,2021-11-17,101,0.0,0.0
2021-11-18,324,303,2021-11-18,32,0.0,0.0
2021-11-19,325,32,2021-11-19,24,0.0,0.0
2021-11-20,326,53,2021-11-20,29,0.0,0.0
2021-11-22,329,395,2021-11-22,329,0.0,0.0
2021-11-23,330,1024,2021-11-23,917,0.0,0.0
2021-11-24,331,180,2021-11-24,145,0.0,0.0
2021-11-25,332,497,2021-11-25,395,0.0,0.0
2021-11-26,333,176,2021-11-26,99,0.0,0.0
2021-11-27,334,50,2021-11-27,46,0.0,0.0
2021-11-29,337,64,2021-11-29,31,0.0,0.0
2021-11-30,338,242,2021-11-30,47,0.0,0.0
2021-12-01,339,1283,2021-12-01,1071,0.0,0.0
2021-12-02,340,321,2021-12-02,254,0.0,0.0
2021-12-03,341,303,2021-12-03,243,0.0,0.0
2021-12-04,342,160,2021-12-04,87,0.0,0.0
2021-12-06,345,245,2021-12-06,123,0.0,0.0
2021-12-07,346,241,2021-12-07,132,0.0,0.0
2021-12-08,347,76,2021-12-08,49,0.0,0.0
2021-12-09,348,76,2021-12-09,48,0.0,0.0
2021-12-10,349,406,2021-12-10,317,0.0,0.0
2021-12-11,350,212,2021-12-11,33,0.0,0.0
2021-12-13,353,388,2021-12-13,302,0.0,0.0
2021-12-14,354,589,2021-12-14,315,0.0,0.0
2021-12-15,355,141,2021-12-15,111,0.0,0.0
2021-12-16,356,1000,2021-12-16,819,0.0,0.0
2021-12-17,357,159,2021-12-17,138,0.0,0.0
2021-12-18,358,69,2021-12-18,56,0.0,0.0
2021-12-20,361,930,2021-12-20,465,0.0,0.0
2021-12-21,362,776,2021-12-21,429,0.0,0.0
2021-12-22,363,476,2021-12-22,232,0.0,0.0
2021-12-23,364,131,2021-12-23,103,0.0,0.0
2021-12-24,365,62,2021-12-24,40,0.0,0.0
2021-12-25,366,73,2021-12-25,34,0.0,0.0
2021-12-27,369,62,2021-12-27,39,0.0,0.0
2021-12-28,370,89,2021-12-28,34,0.0,0.0
2021-12-29,371,31,2021-12-29,21,0.0,0.0
2021-12-30,372,43,2021-12-30,32,0.0,0.0
2021-12-31,373,68,2021-12-31,21,0.0,0.0
2022-01-01,374,57,2022-01-01,26,0.0,0.0
2022-01-03,377,245,2022-01-03,42,0.0,0.0
2022-01-04,378,249,2022-01-04,210,0.0,0.0
2022-01-05,379,66,2022-01-05,27,0.0,0.0
2022-01-06,380,50,2022-01-06,25,0.0,0.0
2022-01-07,381,65,2022-01-07,21,0.0,0.0
2022-01-08,382,102,2022-01-08,34,0.0,0.0
2022-01-10,385,44,2022-01-10,31,0.0,0.0
2022-01-11,386,37,2022-01-11,22,0.0,0.0
2022-01-12,387,770,2022-01-12,639,0.0,0.0
2022-01-13,388,133,2022-01-13,122,0.0,0.0
2022-01-14,389,704,2022-01-14,537,0.0,0.0
2022-01-15,390,225,2022-01-15,142,0.0,0.0
2022-01-17,393,100,2022-01-17,54,0.0,0.0
2022-01-18,394,70,2022-01-18,22,0.0,0.0
2022-01-19,395,1889,2022-01-19,1347,0.0,0.0
2022-01-20,396,704,2022-01-20,483,0.0,0.0
2022-01-21,397,1348,2022-01-21,939,0.0,0.0
2022-01-22,398,1020,2022-01-22,512,0.0,0.0
2022-01-24,401,1341,2022-01-24,1021,0.0,0.0
2022-01-25,402,822,2022-01-25,661,0.0,0.0
2022-01-26,403,383,2022-01-26,298,0.0,0.0
2022-01-27,404,162,2022-01-27,142,0.0,0.0
2022-01-28,405,111,2022-01-28,66,0.0,0.0
2022-01-29,406,54,2022-01-29,45,0.0,0.0
2022-01-31,409,193,2022-01-31,65,0.0,0.0
2022-02-01,410,500,2022-02-01,413,0.0,0.0
2022-02-02,411,266,2022-02-02,229,0.0,0.0
2022-02-03,412,117,2022-02-03,103,0.0,0.0
2022-02-04,413,91,2022-02-04,64,0.0,0.0
2022-02-05,414,101,2022-02-05,46,0.0,0.0
2022-02-07,417,58,2022-02-07,40,0.0,0.0
2022-02-08,418,120,2022-02-08,53,0.0,0.0
2022-02-09,419,142,2022-02-09,56,0.0,0.0
2022-02-10,420,118,2022-02-10,59,0.0,0.0
2022-02-11,421,75,2022-02-11,40,0.0,0.0
2022-02-12,422,92,2022-02-12,63,0.0,0.0
2022-02-14,425,48,2022-02-14,32,0.0,0.0
2022-02-15,426,71,2022-02-15,47,0.0,0.0
2022-02-16,427,58,2022-02-16,49,0.0,0.0
2022-02-17,428,90,2022-02-17,51,0.0,0.0
2022-02-18,429,120,2022-02-18,58,0.0,0.0
2022-02-19,430,126,2022-02-19,101,0.0,0.0
2022-02-21,433,45,2022-02-21,28,0.0,0.0
2022-02-22,434,295,2022-02-22,247,0.0,0.0
2022-02-23,435,100,2022-02-23,88,0.0,0.0
2022-02-24,436,145,2022-02-24,61,0.0,0.0
2022-02-25,437,396,2022-02-25,326,0.0,0.0
2022-02-26,438,315,2022-02-26,258,0.0,0.0
2022-02-28,441,340,2022-02-28,284,0.0,0.0
2022-03-01,442,336,2022-03-01,250,0.0,0.0
2022-03-02,443,197,2022-03-02,127,0.0,0.0
2022-03-03,444,147,2022-03-03,58,0.0,0.0
2022-03-04,445,37,2022-03-04,27,0.0,0.0
2022-03-05,446,578,2022-03-05,303,0.0,0.0
2022-03-07,449,249,2022-03-07,128,0.0,0.0
2022-03-08,450,171,2022-03-08,78,0.0,0.0
2022-03-09,451,234,2022-03-09,108,0.0,0.0
2022-03-10,452,322,2022-03-10,165,0.0,0.0
2022-03-11,453,164,2022-03-11,83,0.0,0.0
2022-03-12,454,441,2022-03-12,380,0.0,0.0
2022-03-14,457,95,2022-03-14,55,0.0,0.0
2022-03-15,458,36,2022-03-15,19,0.0,0.0
2022-03-16,459,399,2022-03-16,336,0.0,0.0
2022-03-17,460,178,2022-03-17,139,0.0,0.0
2022-03-18,461,113,2022-03-18,78,0.0,0.0
2022-03-19,462,70,2022-03-19,45,0.0,0.0
2022-03-21,465,237,2022-03-21,210,0.0,0.0
2022-03-22,466,37,2022-03-22,23,0.0,0.0
2022-03-23,467,595,2022-03-23,465,0.0,0.0
2022-03-24,468,163,2022-03-24,143,0.0,0.0
2022-03-25,469,86,2022-03-25,52,0.0,0.0
2022-03-26,470,98,2022-03-26,34,0.0,0.0
2022-03-28,473,682,2022-03-28,486,0.0,0.0
2022-03-29,474,81,2022-03-29,49,0.0,0.0
2022-03-30,475,44,2022-03-30,30,0.0,0.0
2022-03-31,476,88,2022-03-31,39,0.0,0.0
2022-04-01,477,161,2022-04-01,93,0.0,0.0
2022-04-02,478,70,2022-04-02,41,0.0,0.0
2022-04-04,481,55,2022-04-04,25,0.0,0.0
2022-04-05,482,45,2022-04-05,35,0.0,0.0
2022-04-06,483,32,2022-04-06,23,0.0,0.0
2022-04-07,484,38,2022-04-07,23,0.0,0.0
2022-04-08,485,684,2022-04-08,589,0.0,0.0
2022-04-09,486,148,2022-04-09,125,0.0,0.0
2022-04-11,489,74,2022-04-11,34,0.0,0.0
2022-04-12,490,160,2022-04-12,152,0.0,0.0
2022-04-13,491,53,2022-04-13,38,0.0,0.0
2022-04-14,492,48,2022-04-14,25,0.0,0.0
2022-04-15,493,64,2022-04-15,28,0.0,0.0
2022-04-16,494,75,2022-04-16,40,0.0,0.0
2022-04-18,497,306,2022-04-18,268,0.0,0.0
2022-04-19,498,149,2022-04-19,121,0.0,0.0
2022-04-20,499,126,2022-04-20,105,0.0,0.0
2022-04-21,500,60,2022-04-21,39,0.0,0.0
2022-04-22,501,78,2022-04-22,61,0.0,0.0
2022-04-23,502,56,2022-04-23,42,0.0,0.0
2022-04-25,505,530,2022-04-25,409,0.0,0.0
2022-04-26,506,99,2022-04-26,90,0.0,0.0
2022-04-27,507,55,2022-04-27,44,0.0,0.0
2022-04-28,508,601,2022-04-28,449,0.0,0.0
2022-04-29,509,281,2022-04-29,249,0.0,0.0
2022-04-30,510,106,2022-04-30,101,0.0,0.0
2022-05-02,513,36,2022-05-02,24,0.0,0.0
2022-05-03,514,57,2022-05-03,19,0.0,0.0
2022-05-04,515,26,2022-05-04,24,0.0,0.0
2022-05-05,516,192,2022-05-05,36,0.0,0.0
2022-05-06,517,33,2022-05-06,29,0.0,0.0
2022-05-07,518,47,2022-05-07,33,0.0,0.0
2022-05-09,521,235,2022-05-09,158,0.0,0.0
2022-05-10,522,285,2022-05-10,115,0.0,0.0
2022-05-11,523,81,2022-05-11,65,0.0,0.0
2022-05-12,524,196,2022-05-12,177,0.0,0.0
2022-05-13,525,56,2022-05-13,51,0.0,0.0
2022-05-14,526,50,2022-05-14,38,0.0,0.0
2022-05-16,529,379,2022-05-16,327,0.0,0.0
2022-05-17,530,487,2022-05-17,409,0.0,0.0
2022-05-18,531,584,2022-05-18,360,0.0,0.0
2022-05-19,532,260,2022-05-19,100,0.0,0.0
2022-05-20,533,126,2022-05-20,49,0.0,0.0
2022-05-21,534,43,2022-05-21,29,0.0,0.0
2022-05-23,537,42,2022-05-23,32,0.0,0.0
2022-05-24,538,59,2022-05-24,33,0.0,0.0
2022-05-25,539,32,2022-05-25,24,0.0,0.0
2022-05-26,540,53,2022-05-26,41,0.0,0.0
2022-05-27,541,53,2022-05-27,28,0.0,0.0
2022-05-28,542,375,2022-05-28,308,0.0,0.0
2022-05-30,545,121,2022-05-30,105,0.0,0.0
2022-05-31,546,64,2022-05-31,59,0.0,0.0
2022-06-01,547,38,2022-06-01,25,0.0,0.0
2022-06-02,548,45,2022-06-02,30,0.0,0.0
2022-06-03,549,30,2022-06-03,21,0.0,0.0
2022-06-04,550,58,2022-06-04,32,0.0,0.0
2022-06-06,553,64,2022-06-06,28,0.0,0.0
2022-06-07,554,45,2022-06-07,20,0.0,0.0
2022-06-08,555,158,2022-06-08,30,0.0,0.0
2022-06-09,556,14,2022-06-09,12,0.0,0.0
2022-06-10,557,31,2022-06-10,25,0.0,0.0
2022-06-11,558,28,2022-06-11,24,0.0,0.0
2022-06-13,561,21,2022-06-13,15,0.0,0.0
2022-06-14,562,88,2022-06-14,31,0.0,0.0
2022-06-15,563,57,2022-06-15,29,0.0,0.0
2022-06-16,564,151,2022-06-16,26,0.0,0.0
2022-06-17,565,402,2022-06-17,365,0.0,0.0
2022-06-18,566,235,2022-06-18,133,0.0,0.0
2022-06-20,569,104,2022-06-20,80,0.0,0.0
2022-06-21,570,71,2022-06-21,40,0.0,0.0
2022-06-22,571,99,2022-06-22,31,0.0,0.0
2022-06-23,572,72,2022-06-23,15,0.0,0.0
2022-06-24,573,59,2022-06-24,22,0.0,0.0
2022-06-25,574,53,2022-06-25,22,0.0,0.0
2022-06-27,577,20,2022-06-27,15,0.0,0.0
2022-06-28,578,44,2022-06-28,21,0.0,0.0
2022-06-29,579,283,2022-06-29,251,0.0,0.0
2022-06-30,580,83,2022-06-30,58,0.0,0.0
2022-07-01,581,68,2022-07-01,46,0.0,0.0
2022-07-02,582,43,2022-07-02,27,0.0,0.0
2022-07-04,585,57,2022-07-04,23,0.0,0.0
2022-07-05,586,30,2022-07-05,21,0.0,0.0
2022-07-06,587,312,2022-07-06,254,0.0,0.0
2022-07-07,588,190,2022-07-07,170,0.0,0.0
2022-07-08,589,95,2022-07-08,57,0.0,0.0
2022-07-09,590,97,2022-07-09,31,0.0,0.0
2022-07-11,593,60,2022-07-11,30,0.0,0.0
2022-07-12,594,40,2022-07-12,29,0.0,0.0
2022-07-13,595,74,2022-07-13,28,0.0,0.0
2022-07-14,596,216,2022-07-14,88,0.0,0.0
2022-07-15,597,383,2022-07-15,320,0.0,0.0
2022-07-16,598,122,2022-07-16,107,0.0,0.0
2022-07-18,601,64,2022-07-18,30,0.0,0.0
2022-07-19,602,33,2022-07-19,25,0.0,0.0
2022-07-20,603,43,2022-07-20,19,0.0,0.0
2022-07-21,604,437,2022-07-21,247,0.0,0.0
2022-07-22,605,26,2022-07-22,19,0.0,0.0
2022-07-23,606,48,2022-07-23,18,0.0,0.0
2022-07-25,609,36,2022-07-25,20,0.0,0.0
2022-07-26,610,20,2022-07-26,18,0.0,0.0
